Day,Equity
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,99953.18434013368
32,99965.24381889345
33,99950.534071579
34,99964.15461601259
35,99967.3656755829
36,99970.71647514345
37,99967.70554985048
38,99972.7752825165
39,99960.35459770204
40,99912.31104357912
41,99912.31104357912
42,99865.5032580414
43,99836.29117123413
44,99836.29117123413
45,99836.29117123413
46,99789.60529074098
47,99818.95288595583
48,99761.87705619812
49,99761.87705619812
50,99761.87705619812
51,99715.04194099427
52,99701.69263679505
53,99708.00376350404
54,99694.3640235138
55,99890.36655647279
56,99889.5232032013
57,99895.96180183411
58,99877.97599250794
59,99883.72599250794
60,99898.61432868958
61,99904.3078101349
62,99917.26502449036
63,99895.60697395325
64,99883.13627082825
65,99889.28376228333
66,99884.00165779114
67,99897.79459602357
68,99881.30402595519
69,99895.84598762513
70,99895.97361213685
71,99842.25400465395
72,99842.25400465395
73,99842.25400465395
74,99842.25400465395
75,99842.25400465395
76,99842.25400465395
77,99842.25400465395
78,99842.25400465395
79,99842.25400465395
80,99842.25400465395
81,99842.25400465395
82,99842.25400465395
83,99795.48316519169
84,99801.6396898499
85,99787.59995596317
86,99752.18966148382
87,99705.50115760809
88,99726.8603800202
89,99715.3397196198
90,99714.79971107488
91,99721.62170204168
92,99673.33228553779
93,99673.33228553779
94,99673.33228553779
95,99673.33228553779
96,99673.33228553779
97,99673.33228553779
98,99673.33228553779
99,99673.33228553779
100,99626.7078754731
101,99635.18968699654
102,99663.81175730904
103,99626.71111033639
104,99585.61222038277
105,99585.61222038277
106,99585.61222038277
107,99539.00342646797
108,99524.9817589875
109,99533.57456294258
110,99530.71558467111
111,99525.77353755196
112,99524.21253291327
113,99517.75150386055
114,99683.13443843086
115,99705.17469111641
116,99699.09290400703
117,99698.56073847969
118,99697.70304194649
119,99692.19226924141
120,99694.74301997383
121,99686.20124140938
122,99687.60431758125
123,99706.35227290352
124,99719.36277095039
125,99708.58112422188
126,99693.33188716133
127,99644.41757188423
128,99644.41757188423
129,99644.41757188423
130,99644.41757188423
131,99644.41757188423
132,99644.41757188423
133,99644.41757188423
134,99644.41757188423
135,99644.41757188423
136,99644.41757188423
137,99644.41757188423
138,99644.41757188423
139,99644.41757188423
140,99644.41757188423
141,99644.41757188423
142,99644.41757188423
143,99644.41757188423
144,99644.41757188423
145,99644.41757188423
146,99644.41757188423
147,99644.41757188423
148,99644.41757188423
149,99644.41757188423
150,99644.41757188423
151,99644.41757188423
152,99644.41757188423
153,99644.41757188423
154,99597.7846263276
155,99602.53328355416
156,99604.18510850533
157,99617.39253648385
158,99561.9638515931
159,99561.9638515931
160,99515.32833665474
161,99537.46563523872
162,99540.38845628365
163,99478.98250444038
164,99478.98250444038
165,99478.98250444038
166,99478.98250444038
167,99478.98250444038
168,99478.98250444038
169,99478.98250444038
170,99478.98250444038
171,99478.98250444038
172,99478.98250444038
173,99478.98250444038
174,99478.98250444038
175,99432.4980744477
176,99312.81167308052
177,99263.0907258149
178,99270.00939646919
179,99281.62276927193
180,99274.37276927193
181,99280.26348582466
182,99283.05144969185
183,99471.72048655708
184,99477.77023020943
185,99477.30035105904
186,99466.46276560982
187,99464.33083811958
188,99458.61083689888
189,99468.54156199654
190,99472.30239573677
191,99480.28228465279
192,99474.2126435395
193,99474.500729477
194,99469.42300120552
195,99419.00465567026
196,99419.00465567026
197,99419.00465567026
198,99419.00465567026
199,99419.00465567026
200,99419.00465567026
201,99419.00465567026
202,99419.00465567026
203,99419.00465567026
204,99419.00465567026
205,99419.00465567026
206,99419.00465567026
207,99419.00465567026
208,99372.3741348878
209,99381.69466101086
210,99334.09394149794
211,99334.09394149794
212,99334.09394149794
213,99287.65111248793
214,99291.37196820084
215,99304.88258831803
216,99303.16444866959
217,99294.4917191774
218,99299.07912152115
219,99294.09135906998
220,99294.54924481217
221,99285.91060345474
222,99299.61195843521
223,99294.5422257692
224,99290.77333538834
225,99296.55309002701
226,99294.34010784928
227,99239.55453483597
228,99239.55453483597
229,99239.55453483597
230,99239.55453483597
231,99239.55453483597
232,99239.55453483597
233,99239.55453483597
234,99239.55453483597
235,99239.55453483597
236,99239.55453483597
237,99193.12135896317
238,99200.47228059404
239,99204.83217439288
240,99023.55168733232
241,99027.14262971513
242,99041.41216096513
243,99241.93147859209
244,99215.02275666827
245,99219.77065095538
246,99217.02181062334
247,99213.13298616045
248,99161.87854695146
249,99161.87854695146
