symbol,entry_time,exit_time,entry_raw_price,entry_price,exit_raw_price,exit_price,shares,side,pairSide,entry_z,exit_z,entry_spread,exit_spread,hold_bars,exit_reason,entry_fee,exit_fee,gross_pnl,pnl
SPY,2023-08-15,2023-08-21,442.8900146484375,443.1114596557617,439.3399963378906,439.1203263397217,101,BUY,longSpread,-2.083367241635554,0.0666546196016641,-0.0055165618643657766,-0.005244106920778258,4,meanRevert,1.0,1.0,-403.1044649200363,-405.1044649200363
IVV,2023-08-15,2023-08-21,445.3399963378906,445.1173263397217,441.6499938964844,441.8708188934326,100,SELL,longSpread,-2.083367241635554,0.0666546196016641,-0.0055165618643657766,-0.005244106920778258,4,meanRevert,1.0,1.0,324.6507446289115,322.6507446289115
SPY,2023-08-23,2023-08-28,443.0299987792969,442.80848377990725,442.760009765625,442.9813897705078,101,SELL,shortSpread,1.7434637803543074,0.2701056420118587,-0.004998437082595508,-0.005226126546566512,3,meanRevert,1.0,1.0,-17.46350505065601,-19.46350505065601
IVV,2023-08-23,2023-08-28,445.25,445.472625,445.0799865722656,444.85744657897953,100,BUY,shortSpread,1.7434637803543074,0.2701056420118587,-0.004998437082595508,-0.005226126546566512,3,meanRevert,1.0,1.0,-61.51784210204596,-63.51784210204596
SPY,2023-09-14,2023-10-12,450.3599853515625,450.58516534423825,433.6600036621094,433.4431736602783,99,BUY,longSpread,-1.5827397506799143,0.6246353547143225,-0.005602072324552232,-0.0046931357597248535,20,maxHold,1.0,1.0,-1697.057176712033,-1699.057176712033
IVV,2023-09-14,2023-10-12,452.8900146484375,452.6635696411133,435.7000122070313,435.9178622131348,98,SELL,longSpread,-1.5827397506799143,0.6246353547143225,-0.005602072324552232,-0.0046931357597248535,20,maxHold,1.0,1.0,1641.0793279418945,1639.0793279418945
SPY,2023-10-31,2023-11-02,418.2000122070313,417.9909122009278,430.760009765625,430.9753897705078,107,SELL,shortSpread,2.2206134111065063,-0.013597898747635425,-0.00415203355921534,-0.0045166247852215236,2,meanRevert,1.0,1.0,-1389.3390999450548,-1391.3390999450548
IVV,2023-10-31,2023-11-02,419.94000244140625,420.1499724426269,432.7099914550781,432.4936364593506,106,BUY,shortSpread,2.2206134111065063,-0.013597898747635425,-0.00415203355921534,-0.0045166247852215236,2,meanRevert,1.0,1.0,1308.4283857727146,1306.4283857727146
SPY,2023-11-07,2023-11-28,436.9299926757813,436.71152767944346,454.9299926757813,455.15745767211916,102,SELL,shortSpread,1.511134680907013,0.11603480342008493,-0.004270718146312191,-0.004496105439645071,14,meanRevert,1.0,1.0,-1881.4848592529215,-1883.4848592529215
IVV,2023-11-07,2023-11-28,438.7999877929687,439.01938778686514,456.9800109863281,456.751520980835,101,BUY,shortSpread,1.511134680907013,0.11603480342008493,-0.004270718146312191,-0.004496105439645071,14,meanRevert,1.0,1.0,1790.9454525909541,1788.9454525909541
SPY,2023-12-12,2023-12-28,464.1000061035156,464.33205610656734,476.69000244140625,476.45165744018556,96,BUY,longSpread,-3.005745921554511,0.2952681783660716,-0.00505080017862003,-0.004834207852603356,11,meanRevert,1.0,1.0,1163.4817280273492,1161.4817280273492
IVV,2023-12-12,2023-12-28,466.4500122070313,466.2167872009278,479.0,479.23949999999996,95,SELL,longSpread,-3.005745921554511,0.2952681783660716,-0.00505080017862003,-0.004834207852603356,11,meanRevert,1.0,1.0,-1237.1577159118558,-1239.1577159118558
