Dummy row 1
Dummy row 2
Date,Open,High,Low,Close,Volume
2023-01-03,371.6006924267827,373.59225401820595,365.27795200832446,368.16864013671875,74850700
2023-01-04,370.4502381857599,373.06055235747476,367.3758891417353,371.010986328125,85934100
2023-01-05,369.03877846602404,369.1547871931726,366.1771216826261,366.7765197753906,76970500
2023-01-06,369.899188748885,376.3186135568416,366.8055145734649,375.1874694824219,104189600
2023-01-09,377.40141658848563,380.6208063538123,374.7911316610883,374.97479248046875,73978100
2023-01-10,374.3851011542346,377.67214326878354,373.43764728141673,377.6044616699219,65358100
2023-01-11,379.1996595650275,382.4576994023153,378.3778916838019,382.3803405761719,68881100
2023-01-12,383.49214685507695,385.2516617898559,379.3833370913891,383.7724914550781,90157700
2023-01-13,380.54343712155054,385.8413951573975,380.27274025862374,385.2613220214844,63903900
2023-01-17,385.24197609245294,386.93383876956204,383.86913739566575,384.5555419921875,62677300
2023-01-18,385.7544178597761,386.8275281643932,378.28120712545837,378.4842224121094,99632300
2023-01-19,376.4248730164569,378.0877332626292,374.3946617132578,375.72882080078125,86958900
2023-01-20,377.1403832354732,382.8830511722103,375.47752266281964,382.7283630371094,91806400
2023-01-23,383.54041815036965,389.2734083285797,382.57363952320134,387.3205261230469,84178800
2023-01-24,385.62869123096067,387.82326825095475,384.42989508834205,386.90484619140625,59524900
2023-01-25,382.7960150812505,387.38821363050886,380.48539996519565,387.0498352050781,84800300
2023-01-26,389.7375036401374,391.4680457812394,386.7404837571729,391.3036804199219,72287400
2023-01-27,390.2498765217852,394.600380481593,390.03718403693375,392.2027587890625,68346200
2023-01-30,389.41843293177686,391.6710437344802,386.9821613268885,387.2818603515625,74202000
2023-01-31,387.8039547265191,393.0245539413983,387.4558990435297,392.9762268066406,86811800
2023-02-01,391.74845023794,399.9274205660555,388.98347688386605,397.1527404785156,101459200
2023-02-02,401.0778233077513,404.41322184036386,399.1636202401184,402.9340515136719,101654500
